questions,answers
hai apa kabar,saya baik-baik saja. bagaimana denganmu?
aku baik-baik saja bagaimana dengan dirimu sendiri,saya cukup baik. terima kasih untuk bertanya.
saya cukup baik terima kasih telah bertanya,"tidak masalah. jadi, bagaimana kabarmu?"
tidak masalah jadi bagaimana kabarmu,saya sudah hebat. bagaimana denganmu
aku sudah hebat bagaimana denganmu,saya sudah baik. saya di sekolah sekarang.
aku sudah baik di sekolah sekarang,kamu sekolah dimana?
kamu sekolah dimana,saya pergi ke pcc.
saya pergi ke pcc,apakah kamu suka disana
apakah kamu suka disana,tidak masalah. itu kampus yang sangat besar.
"tidak apa-apa, ini adalah kampus yang sangat besar",semoga sukses dengan sekolah.
semoga sukses dengan sekolah,terima kasih banyak.
bagaimana kabarmu,aku baik-baik. bagaimana dengan kamu?
"aku baik-baik saja, bagaimana denganmu","tidak pernah lebih baik, terima kasih."
tidak pernah lebih baik terima kasih,jadi bagaimana kabarmu akhir-akhir ini?
jadi bagaimana kabarmu akhir-akhir ini,saya sebenarnya sudah cukup baik. kamu?
ive sebenarnya sudah cukup baik kamu,saya sebenarnya di sekolah sekarang.
saya sebenarnya di sekolah sekarang,sekolah mana yang kamu hadiri?
sekolah mana yang kamu hadiri,saya menghadiri pcc sekarang.
saya menghadiri pcc sekarang,apakah kamu menikmatinya di sana?
apakah kamu menikmatinya di sana,itu tidak buruk. ada banyak orang disana.
lumayan banyak orang disana,semoga beruntung dengan itu.
semoga beruntung dengan itu,terima kasih.
bagaimana kabar hari ini,saya baik-baik saja. bagaimana denganmu
"aku baik-baik saja, bagaimana denganmu","saya benar-benar cantik, terima kasih."
saya sangat senang terima kasih,semuanya baik-baik saja denganmu?
semuanya baik-baik saja denganmu,saya belum pernah lebih baik. bagaimana denganmu?
aku belum lebih baik bagaimana dengan dirimu sendiri,saya mulai sekolah baru-baru ini.
saya mulai sekolah baru-baru ini,kamu sekolah kemana
kemana kamu pergi ke sekolah,saya akan pergi ke pcc.
im akan pcc,bagaimana anda menyukainya sejauh ini?
bagaimana anda menyukainya sejauh ini,sejauh ini saya menyukainya. kelasku cukup bagus sekarang.
saya suka sejauh ini kelas saya cukup bagus sekarang,saya berharap anda beruntung.
ini hari yang buruk hari ini,aku tahu. saya pikir mungkin hujan.
saya tahu saya pikir mungkin hujan,"ini tengah musim panas, seharusnya tidak hujan hari ini."
ini tengah musim panas seharusnya tidak hujan hari ini,itu akan aneh.
itu akan aneh,"ya, terutama karena suhu di luar sembilan puluh derajat."
ya terutama karena suhu di luar sembilan puluh derajat,"saya tahu, akan sangat mengerikan jika hujan dan di luar panas."
saya tahu akan sangat mengerikan jika hujan dan di luar panas,"ya, itu akan menjadi. "
ya itu akan ,saya benar-benar berharap itu tidak terlalu panas setiap hari. 
saya benar-benar berharap itu tidak terlalu panas setiap hari ,saya juga. saya tidak bisa menunggu sampai musim dingin.
"saya juga, saya tidak bisa menunggu sampai musim dingin","saya suka musim dingin juga, tapi terkadang terlalu dingin."
saya suka musim dingin juga tapi kadang-kadang terlalu dingin,saya lebih suka kedinginan daripada panas.
aku lebih suka dingin daripada panas,saya juga.
tidak terlihat bagus di luar hari ini,kamu benar. saya pikir akan hujan nanti.
"anda benar, saya pikir ini akan hujan nanti","di tengah musim panas, seharusnya tidak hujan."
di tengah musim panas seharusnya tidak turun hujan,itu sepertinya tidak benar.
