sentiment,content,sentiment_type
2,web designers guide ios android apps today link,positive
2,line ipad longer today yesterday getting line today fun,positive
2,crazy apple opening temporary store austin tomorrow handle rabid eye pad seekers,positive
2,lesson google one pass digital environment users want purchase across every platform one tool,positive
2,panel quotyour mom ipad designing boomersquot,positive
1,think effing hubby line someone point towards lineup wife number,negative
2,quotandroid users iphone users use options menu contextual menuquot,positive
3,wow rt interrupt regularly scheduled geek programming big news link,no sentiment
2,google launch new social network called circles possibly today link link,positive
2,welcome enjoy ride anywhere austin 10 dwnld applink booth,positive
2,apple plans keep austin wired opening popup apple store link,positive
3,yeay rt new app store includes uberguide sponsored link,no sentiment
2,know season app updates whenever open iphone app store,positive
2,rt arriving us looking microsim data iphone recommendations,positive
2,rumor apple opening temporary store downtown austin ipad launch link,positive
1,horrible repressed memories apple spinning beach ball coming back talk,negative
2,saw man drop iphone gutter last year,positive
2,important screw big launch circus link via,positive
3,second day business apple popup store appears trending apple store sxsw pic link,no sentiment
2,brace audio onslaught enjoy free music sampler itunes link,positive
1,quotell dream steve jobs doesnt say iphone 188 partsatampt made ppl suicidal chinese,negative
2,thanks heathcare digital publishing news new medical apps showcased link,positive
2,tomorrow charles chen speaking android chromeos access google booth exhibit hall pm,positive
3,ipad hand awesome dude gave cutsies hour line,no sentiment
3,adaptive retail apple open popup shop skillfully done cupertino link,no sentiment
3,really liking iphone app thanks making event app appears work well,no sentiment
2,tweet register exclusive passes events parties ipad quotgive cont link,positive
2,rt traveling ipad 102011,positive
3,win free ipad webdoccom rt awesome tech right,no sentiment
3,ouch google v bing respect bing guy invited fill third chair,no sentiment
2,best thing ive heard wknd quoti gave ipad money relief dont need ipad quot,positive
1,austin getting full underway tell iphone intermittent brick,negative
2,tweets android user attendong sxsw please report scenes bannka app link,positive
2,barton hollow free song download amp featured album featured mix link,positive
3,recommendation engine session fantastic thanks,no sentiment
2,couple evo vs iphone video link,positive
2,party lustre pearl bar team android sxsw w link,positive
2,need late night snack discovered filling options sxswi recap day link,positive
2,apple plans keep austin wired opening popup apple store link,positive
2,ipad talk along lines ipad talk idev basically different content,positive
2,n33 love town link codes valid 0035959p 1411,positive
2,smoked way much yesterday hahaha painting android party tonight link,positive
2,n7 time always us link codes valid 0075959p 1111,positive
2,like seeing applying technology art project,positive
3,claims android phones everywhere last years dude ios android ratio like to1 iphone everywhere,no sentiment
3,hitlantis ipad cool song explorer app hitlantiscom,no sentiment
2,woman plane next nook blackberry curve android ipad purse,positive
2,true rt tabletphonelaptop evidence might well call country united states apple,positive
2,link guy kawasaki talks enchanted sxsw knows stuff,positive
3,need best android dev html5js issue need solving quickly handsome reward love grabs,no sentiment
3,saw preview new ipad app awesome,no sentiment
2,diller would product ipad one form factor todays multichannel multi platform world,positive
3,friends austin ill buffalo new,no sentiment
1,rt launch major new social network called possibly today link gtgtreally google,negative
2,apple sets squarefoot temporary store sell new ipads test potential traffic link,positive
2,many good places rt youre racing around best fueling great local fare link,positive
1,might need go apple today think quotquot quotxquot quotwquot keys worn,negative
3,great ipad app link,no sentiment
2,able afford attend buy ipad today consider saving japan earthquake relief sayin,positive
2,enjoying california hollywood silicon valley meets nyc sunny austin bythepool cowboy boots ipad vibe,positive
2,marissa mayer connect amp physical worlds link,positive
2,heading first snackers tweet us amp find one popchicks iphone case,positive
2,apple opening popup store austin aapl link,positive
2,wanting buy temporary store open austin link,positive
3,thanks love show us iphone via twitpic well share love,no sentiment
3,rt rt google launch major new social network called circles possibly today link cool,no sentiment
1,popup apple store seems popup ipad2s,negative
2,indie songs rock various artists featured artists link,positive
3,packed many devices alarm set 15am see yall psyched meet finally many guys,no sentiment
2,pen paper iphone amp ipad immediate use session media analytics need hit wall,positive
2,discussing pubsubhubbub link,positive
3,soundsfantastic rt google partyawesome,no sentiment
2,google circles take facebook link,positive
3,google party photo booth fun link,no sentiment
2,wonder many sell link,positive
2,quantter launching iphone app soon participating launchrock comp link,positive
2,download free sampler bands playing link,positive
2,check designing ipad interfaces new navigation schemas sxswlink,positive
2,google launch major new social network called circles possibly today link,positive
3,keep new quake iphone nhk world tv live link,no sentiment
3,need buy ipad2 im austin sure ill need q austin apple store,no sentiment
3,ipad success apple popup store austin link,no sentiment
2,asked quotwhy shouldnt get ipad quot earlier today far people getting thoughts,positive
2,line around austin apple popup store unbelievable,positive
2,building android ios applications weve got tool ballroom 00,positive
2,quotuth byquot driveby baby adventure link,positive
2,guy next carefully studying quotbest parties quot spreadsheet made ipad ipad n00b,positive
2,special apple store opening th congress sxsw amp ipad launch,positive
3,restored apple made smart phone im unleash hell,no sentiment
2,line moving fast rt seen two impressive lines since im one apple store amp party,positive
2,mike tyson appears promote iphoneipad game link,positive
1,def could use ipad today tweeting via iphone sorta pretty much sux,negative
2,first tweet plane feedback registration via fb connect twitter paypal google integration pay,positive
2,come startups google facebook acc abc starting,positive
3,ipad tablet etc aiding greater adoption mobile devices screen size larger,no sentiment
3,iphone app free godsend gpsaware map city without need g wifi,no sentiment
2,download day lonely planet austin free limited time link,positive
2,pop apple store austin still ipad2 stock,positive
3,heading free googlesponsored happy hour semantic web austin fogo de cho,no sentiment
3,like download freak jet iphone hilarious see im learning new stuff,no sentiment
2,domo ios android got released,positive
2,hey youre try early iphoneandroid beta hitchery let us know think link,positive
2,apple likes pay long gadget liked many closed system work,positive
3,kick giving away ipad visit fb page enter link,no sentiment
3,yes google party glowing cups link,no sentiment
3,thanks apple store retweet,no sentiment
2,rt google launch major new social network called circles possibly today link,positive
2,novelty news apps fades fast among digital delegates link,positive
3,real time location data layer google earth gives breathtaking visual data,no sentiment
1,think taken upon make clear gen iphone aint gonna cut anymore,negative
2,shouldshouldnt get ipad discuss,positive
3,essential apps beyond underwire wiredcom link,no sentiment
2,would via apples opened popup store austin nerds get new ipads link,positive
2,google maps use mobile,positive
3,check great amp v effective enviro app bin link iphone gs,no sentiment
1,google prefers launch hyped new social features meh bang via tc link,negative
2,free quotayments platformquot webinar march th register today link mr,positive
2,register private beta win apple tv visit link details,positive
3,hhaha intimidated iphone app developers meetup leave,no sentiment
2,line might started bit slow 45pm easily wrapped around link,positive
2,didnt know google developer day sxsw link,positive
2,whoa hang saw someone without iphone,positive
3,early purchase awesome sweepstakes giveaway game details coming soon,no sentiment
3,leaving bag home today traveling light ipad hand really dont need lug around impedimenta,no sentiment
2,apple opening temp store th congress downtown austin ipad release sxsw,positive
2,tradeshow floor engage w multitouch interactive wall take part augmented reality enter win ipad,positive
3,guy gets tattooed company win ipad link,no sentiment
2,googles marissa mayer quotthe mobile phone cursor connects physical digital worldsquot link,positive
