clean_questions,clean_answer,questions,answers
hai kabar,baikbaik denganmu,Hai apa kabar?,saya baik-baik saja. bagaimana denganmu?
baikbaik denganmu,terima kasih,saya baik-baik saja. bagaimana denganmu?,saya cukup baik. Terima kasih untuk bertanya.
terima kasih,kabarmu,saya cukup baik. Terima kasih untuk bertanya.,"tidak masalah. Jadi, bagaimana kabarmu?"
kabarmu,hebat denganmu,"tidak masalah. Jadi, bagaimana kabarmu?",Saya sudah hebat. bagaimana denganmu
hebat denganmu,sekolah,Saya sudah hebat. bagaimana denganmu,saya sudah baik. saya di sekolah sekarang.
sekolah,sekolah dimana,saya sudah baik. saya di sekolah sekarang.,kamu sekolah dimana?
sekolah dimana,pergi pcc,kamu sekolah dimana?,saya pergi ke pcc.
pergi pcc,suka disana,saya pergi ke pcc.,apakah kamu suka disana
suka disana,kampus,apakah kamu suka disana,tidak masalah. itu kampus yang sangat besar.
kampus,semoga sukses sekolah,tidak masalah. itu kampus yang sangat besar.,semoga sukses dengan sekolah.
semoga sukses sekolah,terima kasih,semoga sukses dengan sekolah.,Terima kasih banyak.
kabarmu,baikbaik,bagaimana kabarmu?,Aku baik-baik. bagaimana dengan kamu?
baikbaik,terima kasih,Aku baik-baik. bagaimana dengan kamu?,"tidak pernah lebih baik, terima kasih."
terima kasih,kabarmu akhirakhir,"tidak pernah lebih baik, terima kasih.",jadi bagaimana kabarmu akhir-akhir ini?
kabarmu akhirakhir,,jadi bagaimana kabarmu akhir-akhir ini?,Saya sebenarnya sudah cukup baik. kamu?
,sekolah,Saya sebenarnya sudah cukup baik. kamu?,saya sebenarnya di sekolah sekarang.
sekolah,sekolah hadiri,saya sebenarnya di sekolah sekarang.,sekolah mana yang kamu hadiri?
sekolah hadiri,menghadiri pcc,sekolah mana yang kamu hadiri?,saya menghadiri pcc sekarang.
menghadiri pcc,menikmatinya,saya menghadiri pcc sekarang.,apakah kamu menikmatinya di sana?
menikmatinya,buruk orang disana,apakah kamu menikmatinya di sana?,itu tidak buruk. ada banyak orang disana.
buruk orang disana,semoga beruntung,itu tidak buruk. ada banyak orang disana.,semoga beruntung dengan itu.
semoga beruntung,terima kasih,semoga beruntung dengan itu.,Terima kasih.
kabar,baikbaik denganmu,bagaimana kabar hari ini?,saya baik-baik saja. bagaimana denganmu
baikbaik denganmu,benarbenar cantik terima kasih,saya baik-baik saja. bagaimana denganmu,"Saya benar-benar cantik, terima kasih."
benarbenar cantik terima kasih,baikbaik denganmu,"Saya benar-benar cantik, terima kasih.",semuanya baik-baik saja denganmu?
baikbaik denganmu,denganmu,semuanya baik-baik saja denganmu?,saya belum pernah lebih baik. bagaimana denganmu?
denganmu,sekolah barubaru,saya belum pernah lebih baik. bagaimana denganmu?,saya mulai sekolah baru-baru ini.
sekolah barubaru,sekolah kemana,saya mulai sekolah baru-baru ini.,kamu sekolah kemana
sekolah kemana,pergi pcc,kamu sekolah kemana,saya akan pergi ke pcc.
pergi pcc,menyukainya,saya akan pergi ke pcc.,Bagaimana Anda menyukainya sejauh ini?
menyukainya,menyukainya kelasku bagus,Bagaimana Anda menyukainya sejauh ini?,sejauh ini saya menyukainya. kelasku cukup bagus sekarang.
menyukainya kelasku bagus,berharap beruntung,sejauh ini saya menyukainya. kelasku cukup bagus sekarang.,Saya berharap Anda beruntung.
buruk,pikir hujan,ini hari yang buruk hari ini.,aku tahu. saya pikir mungkin hujan.
pikir hujan,musim panas hujan,aku tahu. saya pikir mungkin hujan.,"ini tengah musim panas, seharusnya tidak hujan hari ini."
musim panas hujan,aneh,"ini tengah musim panas, seharusnya tidak hujan hari ini.",itu akan aneh.
aneh,ya suhu sembilan puluh derajat,itu akan aneh.,"ya, terutama karena suhu di luar sembilan puluh derajat."
